year,cohort,school_rep_code,school_rep_name,region,estb,school_division,enrolled_students,enrolled_dropouts,enrolled_dropout_rate,freshman_students,freshman_dropouts,freshman_dropout_rate,campus_count,grad_program_count,has_alimi,updated_at
2019,graduate,0000157,호남대학교,광주,사립,대학원,783,53,6.8,,,,3,4,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000158,호남신학대학교,광주,사립,대학원,571,7,1.2,,,,5,6,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000048,계명대학교,대구,사립,대학원,2619,190,7.3,,,,10,12,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000038,건양대학교,대전,사립,대학원,633,39,6.2,,,,6,7,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000067,대전대학교,대전,사립,대학원,713,39,5.5,,,,4,5,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000182,대전신학대학교,대전,사립,대학원,103,3,2.9,,,,2,3,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000080,목원대학교,대전,사립,대학원,839,45,5.4,,,,3,4,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000081,배재대학교,대전,사립,대학원,468,39,8.3,,,,3,3,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000184,우송대학교,대전,사립,대학원,709,30,4.2,,,,6,7,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000551,한국침례신학대학교,대전,사립,대학원,743,69,9.3,,,,5,5,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000145,한남대학교,대전,사립,대학원,1140,67,5.9,,,,5,7,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000043,경성대학교,부산,사립,대학원,639,25,3.9,,,,3,4,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000050,고신대학교,부산,사립,대학원,1214,31,2.6,,,,7,8,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000180,동명대학교,부산,사립,대학원,311,18,5.8,,,,2,4,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000073,동서대학교,부산,사립,대학원,344,20,5.8,,,,3,4,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000075,동아대학교,부산,사립,대학원,2249,183,8.1,,,,7,11,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000077,동의대학교,부산,사립,대학원,1015,54,5.3,,,,7,8,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000082,부산가톨릭대학교,부산,사립,대학원,152,10,6.6,,,,1,2,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000083,부산외국어대학교,부산,사립,대학원,536,35,6.5,,,,5,7,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000106,신라대학교,부산,사립,대학원,839,67,8,,,,6,7,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000035,감리교신학대학교,서울,사립,대학원,848,20,2.4,,,,3,4,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000037,건국대학교,서울,사립,대학원,6240,304,4.9,,,,17,22,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000047,경희대학교,서울,사립,대학원,8136,395,4.9,,,,15,19,Y,2026-08-15T04:17:46.259Z
