year,half,school_kind,estb,school_division,region,status,school_rep_code,school_rep_name,campus_count,student_quota,recruitment_suspension,enrolled_total,enrolled_within,enrolled_outside,fill_rate,fill_rate_within,consolidated_at
2020,상반기,전문대학,공립,전문대학,경남,기존,0000243,경남도립남해대학,1,775,0,783,739,44,101.03,95.35,2026-08-07T09:07:29.731Z
2020,상반기,대학교,국립,대학,경남,기존,0000556,경상대학교,1,12528,0,13989,12809,1180,111.66,102.24,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경남,기존,0000395,김해대학교,1,1326,0,1471,1237,234,110.94,93.29,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경남,기존,0000342,동원과학기술대학교,1,1957,0,2285,1776,509,116.76,90.75,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경남,기존,0000306,마산대학교,1,5342,0,5571,4770,801,104.29,89.29,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경남,기존,0000167,부산장신대학교,1,253,0,221,215,6,87.35,84.98,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경남,기존,0000530,연암공과대학교,1,1162,0,1207,1126,81,103.87,96.9,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경남,기존,0000122,인제대학교,2,9017,0,9154,8298,856,101.52,92.03,2026-08-07T09:07:29.731Z
2020,상반기,교육대학,국립,대학,경남,기존,0000203,진주교육대학교,1,1276,0,1330,1244,86,104.23,97.49,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경남,기존,0000369,진주보건대학교,1,2405,0,2878,2255,623,119.67,93.76,2026-08-07T09:07:29.731Z
2020,상반기,산업대학,국립,대학,경남,폐교,0000212,진주산업대학교(산업대),1,0,0,0,0,0,0,0,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경남,기존,0000193,창신대학교,1,2000,0,1896,1761,135,94.8,88.05,2026-08-07T09:07:29.731Z
2020,상반기,대학교,국립,대학,경남,기존,0000581,창원대학교,1,7038,0,7915,7154,761,112.46,101.65,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경남,기존,0000528,창원문성대학교,1,2985,0,2712,2468,244,90.85,82.68,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경남,기존,0000396,한국승강기대학교,1,594,0,635,561,74,106.9,94.44,2026-08-07T09:07:29.731Z
2020,상반기,기능대학,사립,전문대학,경남,기존,0000503,한국폴리텍 특성화대학,1,480,0,539,441,98,112.29,91.88,2026-08-07T09:07:29.731Z
2020,상반기,기능대학,사립,전문대학,경남,기존,0000496,한국폴리텍 VII 대학,1,1210,0,1497,1156,341,123.72,95.54,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경북,기존,0000032,가야대학교,2,2434,0,2176,1998,178,89.4,82.09,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경북,기존,0000249,가톨릭상지대학교,1,1734,0,1860,1439,421,107.27,82.99,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경북,기존,0000293,경북과학대학교,1,1719,0,1655,1422,233,96.28,82.72,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,공립,전문대학,경북,폐교,0000244,경북도립대학교,1,910,0,856,798,58,94.07,87.69,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경북,기존,0000523,경북보건대학교,1,1177,0,1250,1109,141,106.2,94.22,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경북,기존,0000258,경북전문대학교,1,2315,0,2853,2204,649,123.24,95.21,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경북,기존,0000188,경운대학교,1,4736,0,4338,4097,241,91.6,86.51,2026-08-07T09:07:29.731Z
2020,상반기,산업대학,사립,대학,경북,폐교,0000226,경운대학교(산업대),1,0,0,0,0,0,0,0,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경북,기존,0000045,경일대학교,1,6356,0,6922,6242,680,108.9,98.21,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경북,기존,0000586,경주대학교,1,3048,78,1013,725,288,34.11,24.41,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경북,기존,0000268,구미대학교,1,3645,0,5066,3388,1678,138.98,92.95,2026-08-07T09:07:29.731Z
2020,상반기,대학교,국립,대학,경북,기존,0000575,금오공과대학교,1,4850,0,5574,4951,623,114.93,102.08,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경북,기존,0000185,김천대학교,1,3344,1,2998,2653,345,89.68,79.36,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경북,기존,0000279,대경대학교,1,3866,0,4072,3447,625,105.33,89.16,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경북,기존,0000063,대구가톨릭대학교,1,11758,0,12433,11535,898,105.74,98.1,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경북,기존,0000061,대구대학교,1,16236,0,17071,15214,1857,105.14,93.71,2026-08-07T09:07:29.731Z
2020,상반기,사이버대학(대학),사립,대학,경북,기존,0000410,대구사이버대학교,1,3860,0,4038,3189,849,104.61,82.62,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경북,기존,0000062,대구예술대학교,1,1753,0,948,934,14,54.08,53.28,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경북,기존,0000042,대구한의대학교,1,6288,0,6849,6267,582,108.92,99.67,2026-08-07T09:07:29.731Z
