year,school_kind,estb,region,status,school_code_std,school_name,total_enrolled,special_city_count,special_city_ratio,small_city_etc_count,small_city_etc_ratio,metro_count,metro_ratio,wide_city_count,wide_city_ratio,small_city_count,small_city_ratio,town_special_other_count,town_special_other_ratio,uploaded_at
2026,대학교,국립,충북,기존,0000034,국립한국교통대학교,2165,487,22.5,1678,77.5,196,9.05,291,13.44,1268,58.57,410,18.94,2026-08-05T22:04:39.152Z
2026,대학교,국립,부산,기존,0000033,국립한국해양대학교,1550,824,53.2,726,46.8,75,4.84,749,48.32,444,28.65,282,18.2,2026-08-05T22:04:39.152Z
2026,대학교,국립,대전,기존,0000039,국립한밭대학교,2142,1084,50.6,1058,49.4,27,1.26,1057,49.35,717,33.47,341,15.92,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000078,국민대학교,3489,1590,45.6,1899,54.4,1146,32.85,444,12.73,1392,39.9,507,14.54,2026-08-05T22:04:39.152Z
2026,사이버대학(대학),사립,경기,기존,0000319,국제사이버대학교,584,270,46.2,314,53.8,169,28.94,101,17.29,211,36.13,103,17.63,2026-08-05T22:04:39.152Z
2026,대학교,사립,충북,기존,0000080,극동대학교,1042,339,32.5,703,67.5,228,21.88,111,10.65,426,40.88,277,26.59,2026-08-05T22:04:39.152Z
2026,사이버대학(대학),사립,충남,기존,0000334,글로벌사이버대학교,274,89,32.5,185,67.5,43,15.69,46,16.79,89,32.48,96,35.03,2026-08-05T22:04:39.152Z
2026,대학교,사립,충남,기존,0000224,금강대학교,40,19,47.5,21,52.5,9,22.5,10,25,16,40,5,12.5,2026-08-05T22:04:39.152Z
2026,대학교,사립,경북,기존,0000241,김천대학교,715,257,35.9,458,64.1,84,11.75,173,24.2,279,39.02,179,25.03,2026-08-05T22:04:39.152Z
2026,대학교,사립,충남,기존,0000081,나사렛대학교,1363,266,19.5,1097,80.5,140,10.27,126,9.24,856,62.8,241,17.69,2026-08-05T22:04:39.152Z
2026,대학교,사립,광주,기존,0000216,남부대학교,675,307,45.5,368,54.5,41,6.07,266,39.41,211,31.26,157,23.27,2026-08-05T22:04:39.152Z
2026,대학교,사립,충남,기존,0000245,남서울대학교,2548,460,18.1,2088,81.9,235,9.22,225,8.83,1584,62.17,504,19.78,2026-08-05T22:04:39.152Z
