year,school_code_std,school_name,school_division,school_kind,region,estb,school_funds_carryover,school_funds_endowment,industry_carryover,industry_endowment,total_funds,tuition_revenue,fund_secure_rate,uploaded_at
2020,0000243,송원대학교,대학,대학교,광주,사립,734202,,87875,,822077,18651519,4.4,2026-08-01T02:42:38.332Z
2020,0000139,수원가톨릭대학교,대학,대학교,경기,사립,1533298,27095115,,,28628413,982571,2913.6,2026-08-01T02:42:38.332Z
2020,0000140,수원대학교,대학,대학교,경기,사립,65726703,369847921,7705406,3254184,446534215,72285549,617.7,2026-08-01T02:42:38.332Z
2020,0000141,숙명여자대학교,대학,대학교,서울,사립,2623717,191703217,19022303,114456,213463693,103145048,207,2026-08-01T02:42:38.332Z
2020,0000142,순천향대학교,대학,대학교,충남,사립,3748634,64176305,6571473,1500000,75996412,92226560,82.4,2026-08-01T02:42:38.332Z
2020,0000143,숭실대학교,대학,대학교,서울,사립,20701410,97714054,10718010,,129133473,135433854,95.3,2026-08-01T02:42:38.332Z
2020,0000233,화성의과학대학교,대학,대학교,경기,사립,-4448424,,28501,,-4419923,3869698,-114.2,2026-08-01T02:42:38.332Z
2020,0000144,신라대학교,대학,대학교,부산,사립,2718656,12220502,838811,,15777970,56650737,27.9,2026-08-01T02:42:38.332Z
2020,0002712,신한대학교,대학,대학교,경기,사립,3763527,131259,1029980,,4924766,57791758,8.5,2026-08-01T02:42:38.332Z
2020,0000145,아신대학교,대학,대학교,경기,사립,3335,588369,20539,,612242,7304141,8.4,2026-08-01T02:42:38.332Z
2020,0000146,아주대학교,대학,대학교,경기,사립,18154916,96371434,20264981,1039104,135830436,121505890,111.8,2026-08-01T02:42:38.332Z
2020,0000147,안양대학교,대학,대학교,경기,사립,1397812,11586013,2410580,,15394405,38285129,40.2,2026-08-01T02:42:38.332Z
2020,0000149,연세대학교,대학,대학교,서울,사립,21622785,630596664,30440560,24941132,707601141,391949729,180.5,2026-08-01T02:42:38.332Z
2020,0000151,영남대학교,대학,대학교,경북,사립,20905815,131876989,17761353,1014950,171559106,170120987,100.8,2026-08-01T02:42:38.332Z
2020,0000153,영남신학대학교,대학,대학교,경북,사립,246484,364203,1620,,612307,4314827,14.2,2026-08-01T02:42:38.332Z
2020,0003193,영산대학교(해운대),대학,대학교,부산,사립,4023273,3265440,1583308,,8872022,37419225,23.7,2026-08-01T02:42:38.332Z
2020,0000155,영산선학대학교,대학,대학교,전남,사립,3151,,,,3151,59000,5.3,2026-08-01T02:42:38.332Z
2020,0000228,예수대학교,대학,대학교,전북,사립,76851,,83945,17849,178645,3693796,4.8,2026-08-01T02:42:38.332Z
2020,0000218,예원예술대학교,대학,대학교,전북,사립,73881,,1714,,75594,16191203,0.5,2026-08-01T02:42:38.332Z
2020,0000156,용인대학교,대학,대학교,경기,사립,1930270,91708148,745669,,94384087,51595853,182.9,2026-08-01T02:42:38.332Z
2020,0000157,우석대학교,대학,대학교,전북,사립,5513862,6878161,3139758,250000,15781782,53833025,29.3,2026-08-01T02:42:38.332Z
2020,0000240,우송대학교,대학,대학교,대전,사립,4728380,26738049,1556465,,33022894,72726546,45.4,2026-08-01T02:42:38.332Z
2020,0000158,울산대학교,대학,대학교,울산,사립,11706147,51006343,17764231,,80476721,102326755,78.6,2026-08-01T02:42:38.332Z
2020,0000159,원광대학교,대학,대학교,전북,사립,5611286,36157661,12947288,1500000,56216235,119006586,47.2,2026-08-01T02:42:38.332Z
2020,0000160,위덕대학교,대학,대학교,경북,사립,511777,2335898,402283,100000,3349957,20582160,16.3,2026-08-01T02:42:38.332Z
2020,0000154,유원대학교,대학,대학교,충북,사립,-625763,,865615,,239852,25047225,1,2026-08-01T02:42:38.332Z
2020,0000161,을지대학교,대학,대학교,대전,사립,11802616,144142547,5993062,,161938225,42352121,382.4,2026-08-01T02:42:38.332Z
2020,0000163,이화여자대학교,대학,대학교,서울,사립,8874402,635004427,34110031,,677988860,201722872,336.1,2026-08-01T02:42:38.332Z
2020,0000164,인제대학교,대학,대학교,경남,사립,5204582,25732144,13820636,,44757362,75343397,59.4,2026-08-01T02:42:38.332Z
2020,0000168,인천가톨릭대학교,대학,대학교,인천,사립,422783,4652065,221924,,5296772,6549511,80.9,2026-08-01T02:42:38.332Z
2020,0000169,인하대학교,대학,대학교,인천,사립,3643590,39725375,8599091,,51968056,163868470,31.7,2026-08-01T02:42:38.332Z
2020,0000170,장로회신학대학교,대학,대학교,서울,사립,350881,35787056,,,36137937,16144373,223.8,2026-08-01T02:42:38.332Z
2020,0000171,전주대학교,대학,대학교,전북,사립,10515081,15716078,5465999,,31697158,80657543,39.3,2026-08-01T02:42:38.332Z
2020,0000172,조선대학교,대학,대학교,광주,사립,5924231,63016357,17652585,,86593173,145566170,59.5,2026-08-01T02:42:38.332Z
2020,0000173,중부대학교,대학,대학교,충남,사립,3834266,3680955,2527227,,10042449,62417532,16.1,2026-08-01T02:42:38.332Z
2020,0000175,중앙대학교,대학,대학교,서울,사립,17162021,111842442,16038326,1400000,146442789,261283132,56,2026-08-01T02:42:38.332Z
