school_code_std,road_address,lot_address,lng,lat,sido,sigungu,geocoded_at
0000104,전남광주통합특별시 나주시 동신대길 67 (대호동),전남광주통합특별시 나주시 대호동 252,126.71798511174165,35.04969500732174,전남광주통합특별시,나주시,2026-08-01T20:12:16.527Z
0000105,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교)",부산광역시 사하구 하단동 산 3-1,128.9680850247375,35.11880881319746,부산광역시,사하구,2026-08-01T20:12:16.527Z
0000106,"경상북도 영주시 풍기읍 동양대로 145 (산법리, 동양대학교)",경상북도 영주시 풍기읍 산법리 583-10,128.5375256650341,36.8808054332111,경상북도,영주시,2026-08-01T20:12:16.527Z
0000107,"부산광역시 부산진구 엄광로 176 (가야동, 동의대학교)",부산광역시 부산진구 가야동 464-121,129.03492091410112,35.142444764364015,부산광역시,부산진구,2026-08-01T20:12:16.527Z
0000108,"경기도 용인시 기흥구 금화로82번길 20 (상갈동, 루터대학교)",경기도 용인시 기흥구 상갈동 17,127.11362237676961,37.265064211099116,경기도,용인시,2026-08-01T20:12:16.527Z
0000109,"경기도 용인시 처인구 명지로 116 (남동, 명지대학교용인캠퍼스)",경기도 용인시 처인구 남동 555,127.18509630318812,37.22354266488637,경기도,용인시,2026-08-01T20:12:16.527Z
0000111,"서울특별시 서대문구 거북골로 34 (남가좌동, 명지대학교)",서울특별시 서대문구 남가좌동 50-3,126.92255941861805,37.58024315222572,서울특별시,서대문구,2026-08-01T20:12:16.527Z
0000112,"대전광역시 서구 도안북로 88 (도안동, 목원대학교)",대전광역시 서구 도안동 800,127.3378768953809,36.32438641014862,대전광역시,서구,2026-08-01T20:12:16.527Z
0000113,"대전광역시 서구 배재로 155-40 (도마동, 배재대학교)",대전광역시 서구 도마동 439-6,127.36724243068932,36.32191787304069,대전광역시,서구,2026-08-01T20:12:16.527Z
0000114,"부산광역시 금정구 오륜대로 57 (부곡동, 부산가톨릭대학교)",부산광역시 금정구 부곡동 9,129.09820130638096,35.244994482874304,부산광역시,금정구,2026-08-01T20:12:16.527Z
0000115,"부산광역시 금정구 금샘로485번길 65 (남산동, 부산외국어대학교)",부산광역시 금정구 남산동 857-1,129.08103805251852,35.267118564991996,부산광역시,금정구,2026-08-01T20:12:16.527Z
0000116,"서울특별시 노원구 화랑로 815 (공릉동, 삼육대학교)",서울특별시 노원구 공릉동 26-38,127.1085070064982,37.64052455284686,서울특별시,노원구,2026-08-01T20:12:16.527Z
0000117,"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교)",서울특별시 종로구 홍지동 7-1,126.95567856544022,37.60310038855627,서울특별시,종로구,2026-08-01T20:12:16.527Z
0000119,강원특별자치도 원주시 상지대길 83 (우산동),강원특별자치도 원주시 우산동 738,127.9312758528091,37.367707847037885,강원특별자치도,원주시,2026-08-01T20:12:16.527Z
0000120,"서울특별시 마포구 백범로 35 (신수동, 서강대학교)",서울특별시 마포구 대흥동 산 1-30,126.94231758935422,37.55369479516961,서울특별시,마포구,2026-08-01T20:12:16.527Z
0000121,"서울특별시 성북구 서경로 124 (정릉동, 서경대학교)",서울특별시 성북구 정릉동 산 16-1,127.01141295643302,37.61532886169918,서울특별시,성북구,2026-08-01T20:12:16.527Z
0000125,"경기도 부천시 소사구 호현로489번길 52 (소사본동, 서울신학대학교)",경기도 부천시 소사구 소사본동 101-1,126.79055918259041,37.4786912207728,경기도,부천시,2026-08-01T20:12:16.527Z
0000126,"서울특별시 노원구 화랑로 621 (공릉동, 서울여자대학교)",서울특별시 노원구 공릉동 126,127.0934434204766,37.62695573551928,서울특별시,노원구,2026-08-01T20:12:16.527Z
0000127,"경기도 광주시 경안로 145 (경안동, 서울장신대학교)",경기도 광주시 경안동 219-2,127.24618214138232,37.41060140032273,경기도,광주시,2026-08-01T20:12:16.527Z
0000128,"충청북도 청주시 서원구 무심서로 377-3 (모충동, 서원대학교)",충청북도 청주시 서원구 모충동 273,127.48210862543425,36.625956278356554,충청북도,청주시,2026-08-01T20:12:16.527Z
0000129,"충청남도 아산시 탕정면 선문로221번길 70 (갈산리, 선문대학교)",충청남도 아산시 탕정면 갈산리 100,127.07077496092575,36.79735593480966,충청남도,아산시,2026-08-01T20:12:16.527Z
0000131,"경기도 안양시 만안구 성결대학로 53 (안양동, 성결대학교)",경기도 안양시 만안구 안양동 400-10,126.9288138399358,37.37986262703335,경기도,안양시,2026-08-01T20:12:16.527Z
0000132,"서울특별시 구로구 연동로 320 (항동, 성공회대학교)",서울특별시 구로구 항동 1-1,126.82503090004444,37.48834490842523,서울특별시,구로구,2026-08-01T20:12:16.527Z
0000133,"서울특별시 종로구 성균관로 25-2 (명륜3가, 성균관대학교)",서울특별시 종로구 명륜3가 53-21,126.99453878391037,37.58814910610191,서울특별시,종로구,2026-08-01T20:12:16.527Z
0000136,"서울특별시 성북구 보문로34다길 2 (돈암동, 성신여자대학교)",서울특별시 성북구 돈암동 173-1,127.02197355202122,37.59170093264356,서울특별시,성북구,2026-08-01T20:12:16.527Z
0000137,"충청북도 제천시 세명로 65 (신월동, 세명대학교)",충청북도 제천시 신월동 522,128.19646316708065,37.176270208688365,충청북도,제천시,2026-08-01T20:12:16.527Z
0000138,"서울특별시 광진구 능동로 209 (군자동, 세종대학교)",서울특별시 광진구 군자동 98,127.07318361304209,37.55160935088161,서울특별시,광진구,2026-08-01T20:12:16.527Z
0000139,"경기도 화성시 봉담읍 왕림1길 67 (왕림리, 수원가톨릭대학교)",경기도 화성시 효행구 봉담읍 왕림리 226,126.9339237340935,37.1933283378457,경기도,화성시,2026-08-01T20:12:16.527Z
0000140,"경기도 화성시 봉담읍 와우안길 17 (와우리, 수원대학교)",경기도 화성시 효행구 봉담읍 와우리 6,126.97970695757886,37.20722611759146,경기도,화성시,2026-08-01T20:12:16.527Z
0000141,"서울특별시 용산구 청파로47길 90 (청파동2가, 숙명여자대학교)",서울특별시 용산구 청파동2가 53,126.96534477121517,37.54529927693998,서울특별시,용산구,2026-08-01T20:12:16.527Z
0000142,"충청남도 아산시 신창면 순천향로 22 (읍내리, 순천향대학교)",충청남도 아산시 신창면 읍내리 646,126.9289373192372,36.76835123315469,충청남도,아산시,2026-08-01T20:12:16.527Z
0000143,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교)",서울특별시 동작구 상도동 511,126.95507100599167,37.496547184084456,서울특별시,동작구,2026-08-01T20:12:16.527Z
0000144,"부산광역시 사상구 백양대로700번길 140 (괘법동, 신라대학교)",부산광역시 사상구 괘법동 산 1-23,128.99528462430067,35.169233383896774,부산광역시,사상구,2026-08-01T20:12:16.527Z
0000145,경기도 양평군 옥천면 경강로 1276 아신대학교,경기도 양평군 옥천면 아신리 933-17,127.42910104138127,37.5112033867927,경기도,양평군,2026-08-01T20:12:16.527Z
0000146,"경기도 수원시 영통구 월드컵로 206 (원천동, 아주대학교)",경기도 수원시 영통구 원천동 산 5-1,127.04275066682418,37.28408702575119,경기도,수원시,2026-08-01T20:12:16.527Z
0000147,"경기도 안양시 만안구 삼덕로37번길 22 (안양동, 안양대학교)",경기도 안양시 만안구 안양동 708-113,126.92046361203208,37.391786454003864,경기도,안양시,2026-08-01T20:12:16.527Z
0000148,"인천광역시 강화군 불은면 중앙로 602-14 (삼성리, 안양대학교강화캠퍼스)",인천광역시 강화군 불은면 삼성리 809-170,126.44471138628481,37.71100393431708,인천광역시,강화군,2026-08-01T20:12:16.527Z
0000149,"서울특별시 서대문구 연세로 50 (신촌동, 연세대학교)",서울특별시 서대문구 신촌동 134,126.9389139906308,37.5643439976086,서울특별시,서대문구,2026-08-01T20:12:16.527Z
0000150,강원특별자치도 원주시 흥업면 연세대길 1 연세대학교 미래캠퍼스,강원특별자치도 원주시 흥업면 매지리 1496,127.90348632414302,37.277885687778635,강원특별자치도,원주시,2026-08-01T20:12:16.527Z
0000151,"경상북도 경산시 대학로 280 (대동, 영남대학교)",경상북도 경산시 삼풍동 300,128.7539352994309,35.82802487396762,경상북도,경산시,2026-08-01T20:12:16.527Z
0000153,"경상북도 경산시 진량읍 봉회1길 26 (봉회리, 영남신학대학교)",경상북도 경산시 진량읍 봉회리 117,128.8180475807701,35.88036999271941,경상북도,경산시,2026-08-01T20:12:16.527Z
0000154,충청북도 영동군 영동읍 대학로 310,충청북도 영동군 영동읍 설계리 54,127.79783812635196,36.1929699906805,충청북도,영동군,2026-08-01T20:12:16.527Z
0000155,전남광주통합특별시 영광군 백수읍 성지로 1357 (길용리),전남광주통합특별시 영광군 백수읍 길용리 771-2,126.44158484159215,35.32655559384011,전남광주통합특별시,영광군,2026-08-01T20:12:16.527Z
0000156,"경기도 용인시 처인구 용인대학로 134 (삼가동, 용인대학교)",경기도 용인시 처인구 삼가동 470,127.16950139511307,37.22577402356981,경기도,용인시,2026-08-01T20:12:16.527Z
0000157,"전라북도 완주군 삼례읍 삼례로 443 (후정리, 우석대학교)",전북특별자치도 완주군 삼례읍 후정리 490,127.06931446461982,35.91328749208547,전라북도,완주군,2026-08-01T20:12:16.527Z
0000158,"울산광역시 남구 대학로 93 (무거동, 울산대학교)",울산광역시 남구 무거동 759,129.25807264994955,35.54641540065637,울산광역시,남구,2026-08-01T20:12:16.527Z
0000159,전북특별자치도 익산시 익산대로 460 (신동),전북특별자치도 익산시 신동 272,126.96123535208517,35.96664207915565,전북특별자치도,익산시,2026-08-01T20:12:16.527Z
0000160,"경상북도 경주시 강동면 동해대로 261 (유금리, 위덕대학교)",경상북도 경주시 강동면 유금리 525,129.28417542015836,36.01188063808809,경상북도,경주시,2026-08-01T20:12:16.527Z
0000161,"대전광역시 중구 계룡로771번길 77 (목동, 을지대학교대전캠퍼스)",대전광역시 중구 목동 24-14,127.40571376529162,36.33295979878167,대전광역시,중구,2026-08-01T20:12:16.527Z
