year,cohort,school_rep_code,school_rep_name,region,estb,school_division,edu_carryover,edu_endowment,industry_carryover,industry_endowment,total_funds,tuition_revenue,fund_secure_rate,campus_count,has_alimi,updated_at
2020,university,0000126,전주대학교,전북,사립,대학,10515081.02,15716078.42,5465999.024,0,31697158.463999998,80657542.92,39.3,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000155,한일장신대학교,전북,사립,대학,42319.87099999981,1030851.57,320333.67100000003,0,1393505.1119999997,7525305.9,18.5,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000223,호원대학교,전북,사립,대학,-914610.7999999989,975958.491,108384.17000000004,0,169731.8610000012,35400654.01,0.5,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000192,제주국제대학교,제주,사립,대학,0,0,298455.25700000004,0,298455.25700000004,0,,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000038,건양대학교,충남,사립,대학,8338776.370000001,102591583.1,2967116.641999999,0,113897476.112,51893413.54,219.5,2,Y,2026-08-15T06:00:43.635Z
2020,university,0000169,금강대학교,충남,사립,대학,417574.91300000006,1194140.354,504473.145,0,2116188.412,2417714.433,87.5,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000059,나사렛대학교,충남,사립,대학,914563.1500000004,7289265.519,288180.179,0,8492008.848000001,37338008.71,22.7,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000189,남서울대학교,충남,사립,대학,4664923.6499999985,13889949.296,2962702.0829999996,900000,22417575.029,73962775.43,30.3,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000131,백석대학교,충남,사립,대학,1626500.0799999982,96823237.015,1060006.8849999998,1300000,100809743.98,107357956.7,93.9,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000094,선문대학교,충남,사립,대학,2355547.780000001,35419599.94,3479921.012,0,41255068.732,68914908.57,59.9,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000104,순천향대학교,충남,사립,대학,3748633.6899999976,64176305.29799999,6571472.800000001,36750,74533161.78799999,92226560.27,80.8,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000128,중부대학교,충남,사립,대학,3834266.3499999978,3680955.097,2527227.1210000003,0,10042448.567999998,62417531.94,16.1,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000225,청운대학교,충남,사립,대학,2652697.179999998,9900297.463,910715.486,0,13463710.128999997,43683333.07,30.8,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000141,한국기술교육대학교,충남,사립,대학,4490853.709999997,5795399.831,9630948.750000002,0,19917202.291,19984540.38,99.7,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000149,한서대학교,충남,사립,대학,9634078.120000001,2503725.791,2408403.5760000004,0,14546207.487000003,55835505.73,26.1,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000159,호서대학교,충남,사립,대학,4810240.380000003,49615349.37,15731770.517,239797.8,70397158.067,105798481.2,66.5,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000557,가톨릭꽃동네대학교,충북,사립,대학,687793.963,2881896.646,39676.187000000005,0,3609366.796,3524693.59,102.4,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000058,극동대학교,충북,사립,대학,1241855.8959999997,221676.504,286683.653,0,1750216.0529999996,26690534.82,6.6,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000093,서원대학교,충북,사립,대학,4958654.4399999995,28931649.7,1898293.3519999995,0,35788597.492,44583303.27,80.3,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000099,세명대학교,충북,사립,대학,1407767.8599999994,131090051.1,8847360.738,0,141345179.69799998,52045574.18,271.6,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000113,유원대학교,충북,사립,대학,-625762.6469999999,0,865614.594,0,239851.94700000016,25047224.95,1,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000183,중원대학교,충북,사립,대학,1337286.5539999995,496671.653,1538558.207,0,3372516.4139999994,28085992.2,12,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000132,청주대학교,충북,사립,대학,2459003.5400000066,241887004.1,878225.0639999998,0,245224232.704,88077277.31,278.4,1,Y,2026-08-15T06:00:43.635Z
2020,junior-college,0000347,강릉영동대학교,강원,사립,전문대학,-1968135.8159999996,35618,97494.81499999997,0,-1835023.0009999997,15238041.6,-12,1,Y,2026-08-15T06:00:43.635Z
2020,junior-college,0000378,강원관광대학교,강원,사립,전문대학,2541436.1629999997,0,102047.705,0,2643483.868,4883365.652,54.1,1,Y,2026-08-15T06:00:43.635Z
2020,junior-college,0000348,세경대학교,강원,사립,전문대학,3612235.6459999997,8567640.411,170726.24000000002,0,12350602.297,4907246.097,251.7,1,Y,2026-08-15T06:00:43.635Z
2020,junior-college,0000393,송곡대학교,강원,사립,전문대학,365254.895,6253.546,2298.3239999999996,0,373806.765,3318440.79,11.3,1,Y,2026-08-15T06:00:43.635Z
2020,junior-college,0000390,송호대학교,강원,사립,전문대학,1471413.645,827823.264,209652.777,0,2508889.6859999998,5288204.564,47.4,1,Y,2026-08-15T06:00:43.635Z
