year,school_code_std,school_name,school_division,school_kind,region,estb,ordinary_expense_transfer,legal_obligation_transfer,asset_transfer,total_transfer,tuition_revenue,transfer_ratio,uploaded_at
2020,0000456,경북과학대학교,전문대학,전문대학,경북,사립,,15000,,15000,9224032,0.2,2026-08-01T05:16:30.222Z
2020,0000438,경북보건대학교,전문대학,전문대학,경북,사립,,21400,,21400,6964537,0.3,2026-08-01T05:16:30.222Z
2020,0002642,경북전문대학교,전문대학,전문대학,경북,사립,,66867,,66867,16239752,0.4,2026-08-01T05:16:30.222Z
2020,0000422,경인여자대학교,전문대학,전문대학,인천,사립,,10000,,10000,27915559,0,2026-08-01T05:16:30.222Z
2020,0000425,계명문화대학교,전문대학,전문대학,대구,사립,,1239010,,1239010,28830680,4.3,2026-08-01T05:16:30.222Z
2020,0000426,계원예술대학교,전문대학,전문대학,경기,사립,,40000,,40000,21632315,0.2,2026-08-01T05:16:30.222Z
2020,0000435,나주대학교,전문대학,전문대학,전남,사립,56,13010,,13066,7174213,0.2,2026-08-01T05:16:30.222Z
2020,0000429,광주보건대학교,전문대학,전문대학,광주,사립,,25000,,25000,18728790,0.1,2026-08-01T05:16:30.222Z
2020,0000430,구미대학교,전문대학,전문대학,경북,사립,,68665,,68665,29979190,0.2,2026-08-01T05:16:30.222Z
2020,0000549,국제대학교,전문대학,전문대학,경기,사립,2985,55000,,57985,23349828,0.2,2026-08-01T05:16:30.222Z
2020,0002971,군산간호대학교,전문대학,전문대학,전북,사립,,2000,,2000,7269617,0,2026-08-01T05:16:30.222Z
2020,0000432,군장대학교,전문대학,전문대학,전북,사립,,45000,,45000,10526218,0.4,2026-08-01T05:16:30.222Z
2020,0002972,기독간호대학교,전문대학,전문대학,광주,사립,,158000,,158000,3190981,5,2026-08-01T05:16:30.222Z
2020,0000440,김포대학교,전문대학,전문대학,경기,사립,,10867,,10867,19329800,0.1,2026-08-01T05:16:30.222Z
2020,0000569,김해대학교,전문대학,전문대학,경남,사립,20000,,,20000,8381542,0.2,2026-08-01T05:16:30.222Z
