school_code_std,school_name,estb,school_division,school_kind,region,crisis,no_accreditation,provisional_board,fund_shortage,uploaded_at
0000418,영남외국어대학,사립,전문대학,전문대학,경북,,해당,,,2026-08-08T02:37:21.560Z
0000513,영남이공대학교,사립,전문대학,전문대학,대구,,,,,2026-08-08T02:37:21.560Z
0000517,영진전문대학교,사립,전문대학,전문대학,대구,,,,,2026-08-08T02:37:21.560Z
0002653,오산대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000520,용인예술과학대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000452,우송정보대학,사립,전문대학,전문대학,대전,,,,,2026-08-08T02:37:21.560Z
0000521,울산과학대학교,사립,전문대학,전문대학,울산,,,,,2026-08-08T02:37:21.560Z
0000523,원광보건대학교,사립,전문대학,전문대학,전북,,,,,2026-08-08T02:37:21.560Z
0000524,유한대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000525,인덕대학교,사립,전문대학,전문대학,서울,,,,,2026-08-08T02:37:21.560Z
0002654,인하공업전문대학,사립,전문대학,전문대학,인천,,,,,2026-08-08T02:37:21.560Z
0000527,장안대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000455,재능대학교,사립,전문대학,전문대학,인천,,,,,2026-08-08T02:37:21.560Z
0000529,전남과학대학교,사립,전문대학,전문대학,전남,,,,,2026-08-08T02:37:21.560Z
0000531,전북과학대학교,사립,전문대학,전문대학,전북,,,,,2026-08-08T02:37:21.560Z
0000437,전주기전대학,사립,전문대학,전문대학,전북,,,,,2026-08-08T02:37:21.560Z
0000530,전주비전대학교,사립,전문대학,전문대학,전북,,,,,2026-08-08T02:37:21.560Z
0000532,제주관광대학교,사립,전문대학,전문대학,제주,,,,,2026-08-08T02:37:21.560Z
0002655,제주한라대학교,사립,전문대학,전문대학,제주,,,,,2026-08-08T02:37:21.560Z
0002974,조선간호대학교,사립,전문대학,전문대학,광주,,,,,2026-08-08T02:37:21.560Z
0000534,조선이공대학교,사립,전문대학,전문대학,광주,,,,,2026-08-08T02:37:21.560Z
0000539,진주보건대학교,사립,전문대학,전문대학,경남,,,,,2026-08-08T02:37:21.560Z
0000542,창원문성대학교,사립,전문대학,전문대학,경남,,,,,2026-08-08T02:37:21.560Z
0000544,청강문화산업대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0002656,청암대학교,사립,전문대학,전문대학,전남,,,,,2026-08-08T02:37:21.560Z
0000545,춘해보건대학교,사립,전문대학,전문대학,울산,,,,,2026-08-08T02:37:21.560Z
0000536,충북보건과학대학교,사립,전문대학,전문대학,충북,,,,,2026-08-08T02:37:21.560Z
0000547,충청대학교,사립,전문대학,전문대학,충북,,,,,2026-08-08T02:37:21.560Z
0002658,포항대학교,사립,전문대학,전문대학,경북,,,,,2026-08-08T02:37:21.560Z
0000578,한국골프과학기술대학교,사립,전문대학,전문대학,강원,,,,,2026-08-08T02:37:21.560Z
0000565,한국관광대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000570,한국승강기대학교,사립,전문대학,전문대학,경남,,,,,2026-08-08T02:37:21.560Z
0000522,한국영상대학교,사립,전문대학,전문대학,세종,,,,,2026-08-08T02:37:21.560Z
0000553,한림성심대학교,사립,전문대학,전문대학,강원,,,,,2026-08-08T02:37:21.560Z
0000554,한양여자대학교,사립,전문대학,전문대학,서울,,,,,2026-08-08T02:37:21.560Z
0000555,한영대학교,사립,전문대학,전문대학,전남,,,,,2026-08-08T02:37:21.560Z
0000556,혜전대학교,사립,전문대학,전문대학,충남,,,,,2026-08-08T02:37:21.560Z
0000415,호산대학교,사립,전문대학,전문대학,경북,,,,,2026-08-08T02:37:21.560Z
