year,half,school_kind,estb,school_division,region,status,school_code_std,school_name,student_quota,recruitment_suspension,enrolled_total,enrolled_within,enrolled_outside,fill_rate,fill_rate_within,uploaded_at
2024,하반기,대학교,사립,,서울,기존,0000078,국민대학교,11819,0,13645,10973,2672,115.4,92.8,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,서울,기존,0000078,국민대학교,11921,0,14502,11732,2770,121.7,98.4,2026-08-07T09:07:29.509Z
2024,하반기,사이버대학(대학),사립,,경기,기존,0000319,국제사이버대학교,2900,0,3119,2343,776,107.6,80.8,2026-08-07T09:07:29.509Z
2025,상반기,사이버대학(대학),사립,,경기,기존,0000319,국제사이버대학교,2900,0,3649,2749,900,125.8,94.8,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,충북,기존,0000080,극동대학교,3488,0,2945,2285,660,84.4,65.5,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,충북,기존,0000080,극동대학교,3547,0,3165,2474,691,89.2,69.7,2026-08-07T09:07:29.509Z
2024,하반기,사이버대학(대학),사립,,충남,기존,0000334,글로벌사이버대학교,3626,0,2293,2266,27,63.2,62.5,2026-08-07T09:07:29.509Z
2025,상반기,사이버대학(대학),사립,,충남,기존,0000334,글로벌사이버대학교,3580,0,2457,2428,29,68.6,67.8,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,충남,기존,0000224,금강대학교,440,0,87,87,0,19.8,19.8,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,충남,기존,0000224,금강대학교,440,0,62,62,0,14.1,14.1,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,경북,기존,0000241,김천대학교,2624,0,2038,1862,176,77.7,71,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,경북,기존,0000241,김천대학교,2567,0,2319,2009,310,90.3,78.3,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,충남,기존,0000081,나사렛대학교,4824,60,4310,3798,512,90.5,79.7,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,충남,기존,0000081,나사렛대학교,4784,0,4494,3972,522,93.9,83,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,광주,기존,0000216,남부대학교,2546,0,2325,2061,264,91.3,81,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,광주,기존,0000216,남부대학교,2507,0,2364,2135,229,94.3,85.2,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,충남,기존,0000245,남서울대학교,8793,0,8379,7216,1163,95.3,82.1,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,충남,기존,0000245,남서울대학교,8808,0,8922,7655,1267,101.3,86.9,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,경기,기존,0000082,단국대학교,9150,0,10397,8629,1768,113.6,94.3,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,경기,기존,0000082,단국대학교,9150,0,11372,9538,1834,124.3,104.2,2026-08-07T09:07:29.509Z
