year,school_code_std,school_name,school_division,school_kind,region,estb,tuition_revenue,school_operating_revenue,industry_operating_revenue,total_operating_revenue,tuition_dependency_rate,uploaded_at
2020,0000670,북한대학원대학교,대학원대학,전문대학원,서울,사립,1414282.51,1997684.975,901116.682,2898801.657,48.8,2026-08-01T04:06:42.106Z
2020,0000666,서울과학종합대학원대학교,대학원대학,전문대학원,서울,사립,9494983.333,13051625.91,1596832.237,14648458.15,64.8,2026-08-01T04:06:42.106Z
2020,0000677,서울미디어대학원대학교,대학원대학,특수대학원,서울,사립,1072733.333,4539065.699,754403.299,5293468.998,20.3,2026-08-01T04:06:42.106Z
2020,0000660,서울벤처대학원대학교,대학원대학,전문대학원,서울,사립,2259400,2652233.062,221011.634,2873244.696,78.6,2026-08-01T04:06:42.106Z
2020,0000658,서울불교대학원대학교,대학원대학,전문대학원,서울,사립,1660845.725,2421308.93,0,0,0,2026-08-01T04:06:42.106Z
2020,0000653,서울사회복지대학원대학교,대학원대학,특수대학원,서울,사립,1239918,2036293.282,0,0,0,2026-08-01T04:06:42.106Z
2020,0000650,서울성경신학대학원대학교,대학원대학,전문대학원,서울,사립,475780,872725.466,0,0,0,2026-08-01T04:06:42.106Z
2020,0000659,서울외국어대학원대학교,대학원대학,전문대학원,서울,사립,2941941.667,3167599.487,157388.506,3324987.993,88.5,2026-08-01T04:06:42.106Z
2020,0000667,선학유피대학원대학교,대학원대학,전문대학원,경기,사립,429480.9,3175735.098,0,0,0,2026-08-01T04:06:42.106Z
2020,0000644,성산효대학원대학교,대학원대학,전문대학원,인천,사립,1353433.9,1916744.908,0,0,0,2026-08-01T04:06:42.106Z
2020,0000661,성서침례대학원대학교,대학원대학,전문대학원,경기,사립,202435,707107.955,0,0,0,2026-08-01T04:06:42.106Z
2020,0000672,실천신학대학원대학교,대학원대학,전문대학원,경기,사립,325816.5,954524.594,0,0,0,2026-08-01T04:06:42.106Z
2020,0000662,에스라성경대학원대학교,대학원대학,전문대학원,경기,사립,458945.334,1008123.223,0,0,0,2026-08-01T04:06:42.106Z
2020,0000651,예명대학원대학교,대학원대학,전문대학원,서울,사립,1268037.7,1561368.905,0,0,0,2026-08-01T04:06:42.106Z
2020,0000654,온석대학원대학교,대학원대학,전문대학원,경기,사립,902520,1196343.641,0,0,0,2026-08-01T04:06:42.106Z
2020,0000678,서울상담심리대학원대학교,대학원대학,전문대학원,서울,사립,1026415.67,1530985.214,0,0,0,2026-08-01T04:06:42.106Z
2020,0000645,원불교대학원대학교,대학원대학,전문대학원,전북,사립,182000,994170.739,0,0,0,2026-08-01T04:06:42.106Z
2020,0000646,웨스트민스터신학대학원대학교,대학원대학,전문대학원,경기,사립,3025522.502,3526620.645,0,0,0,2026-08-01T04:06:42.106Z
2020,0002668,제네바신학대학원대학교,대학원대학,전문대학원,경기,사립,45500,860058.557,0,0,0,2026-08-01T04:06:42.106Z
2020,0000680,주안대학원대학교,대학원대학,전문대학원,인천,사립,415647.6,1225813.868,0,0,0,2026-08-01T04:06:42.106Z
2020,0002817,치유상담대학원대학교,대학원대학,전문대학원,서울,사립,1293420.13,2216418.08,0,0,0,2026-08-01T04:06:42.106Z
2020,0000679,한국상담대학원대학교,대학원대학,전문대학원,서울,사립,1162871.34,2074016.352,0,0,0,2026-08-01T04:06:42.106Z
