year,school_kind,estb,school_division,region,status,school_code_std,school_name,enrolled_students,enrolled_dropouts,enrolled_dropout_rate,freshman_students,freshman_dropouts,freshman_dropout_rate,uploaded_at
2022,대학교,사립,대학,경기,기존,0002800,신한대학교_제2캠퍼스,6476,329,5.08,1165,88,7.55,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0002712,신한대학교,1819,96,5.28,331,13,3.93,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000145,아신대학교,573,63,10.99,50,7,14,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000146,아주대학교,13541,464,3.43,2176,171,7.86,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,경북,기존,0000021,국립경국대학교,7414,488,6.58,1188,88,7.41,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000147,안양대학교,6073,298,4.91,1083,74,6.83,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,인천,기존,0000148,안양대학교_제2캠퍼스,447,39,8.72,137,19,13.87,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000149,연세대학교,27270,822,3.01,4094,393,9.6,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,강원,기존,0000150,연세대학교(미래)_분교,9490,385,4.06,1462,103,7.05,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경북,기존,0000151,영남대학교,28429,1283,4.51,4859,282,5.8,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경북,기존,0000153,영남신학대학교,501,40,7.98,100,12,12,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경남,기존,0003193,영산대학교,2896,285,9.84,469,75,15.99,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,부산,기존,0003194,영산대학교_제2캠퍼스,4415,461,10.44,785,95,12.1,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,전남,기존,0000155,영산선학대학교,53,2,3.77,8,2,25,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,전북,기존,0000228,예수대학교,593,12,2.02,121,2,1.65,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000219,예원예술대학교_제2캠퍼스,488,58,11.89,91,7,7.69,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,전북,기존,0000218,예원예술대학교,1331,146,10.97,202,23,11.39,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000156,용인대학교,7755,462,5.96,1340,96,7.16,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,전북,기존,0000157,우석대학교,8999,793,8.81,1475,168,11.39,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,대전,기존,0000240,우송대학교,12422,582,4.69,2218,102,4.6,2026-08-07T10:05:19.852Z
2022,대학교,특별법법인,대학,울산,기존,0000250,울산과학기술원,2411,93,3.86,447,49,10.96,2026-08-07T10:05:19.852Z
