year,school_code_std,school_name,corp_name,school_division,region,estb,school_status,land_appraised,land_net_income,building_appraised,building_net_income,securities_appraised,securities_net_income,deposit_appraised,deposit_net_income,other_appraised,other_net_income,collateral_deduction,total_appraised,total_net_income,uploaded_at
2025,0000462,동아보건대학교,봉석학원,전문대학,전남,사립,기존,0,0,0,0,0,0,7166341,263844,0,0,0,7166341,263844,2026-08-06T23:37:18.005Z
2025,0000106,동양대학교,현암학원,대학,경북,사립,기존,6552659,0,8563380,152484,0,0,4290138,88516,0,0,250000,19156177,241000,2026-08-06T23:37:18.005Z
2025,0000463,동양미래대학교,동양학원,전문대학,서울,사립,기존,6072318,20000,280258,30600,16640016,886703,4731458,177448,0,0,0,27724050,1114751,2026-08-06T23:37:18.005Z
2025,0000509,동원과학기술대학교,동원교육재단,전문대학,경남,사립,기존,5123868,1000,1383868,90042,0,0,3697825,124958,0,0,0,10205561,216000,2026-08-06T23:37:18.005Z
2025,0000465,동원대학교,동원학원,전문대학,경기,사립,기존,94004,0,2719830,267500,0,0,297765,0,0,0,2315000,796599,267500,2026-08-06T23:37:18.005Z
2025,0000466,동의과학대학교,동의학원,전문대학,부산,사립,기존,29845865,0,12917147,458000,281183,6727,1385624,57870,0,300000,0,44429819,822597,2026-08-06T23:37:18.005Z
2025,0000107,동의대학교,동의학원,대학,부산,사립,기존,29845865,0,12917147,458000,281183,6727,1385624,57870,0,300000,0,44429819,822597,2026-08-06T23:37:18.005Z
2025,0000469,두원공과대학교,두원학원,전문대학,경기,사립,기존,11223138,236808,1112895,191387,14791256,106197,16261000,621837,5346000,399149,0,48734289,1555378,2026-08-06T23:37:18.005Z
2025,0000330,디지털서울문화예술대학교,서울문화예술대학교,대학,서울,사립,기존,5889479,0,2105521,200088,0,0,0,0,0,0,0,7995000,200088,2026-08-06T23:37:18.005Z
2025,0000108,루터대학교,루터교학원,대학,경기,사립,기존,13900832,0,220440,0,0,0,66349,2734,0,0,0,14187621,2734,2026-08-06T23:37:18.005Z
2025,0000470,마산대학교,문화교육원,전문대학,경남,사립,기존,8613102,264000,185736,0,505035,0,985765,38777,0,0,0,10289638,302777,2026-08-06T23:37:18.005Z
2025,0000109,명지대학교,명지학원,대학,경기,사립,기존,132228423,0,53398196,0,0,0,61812,0,384870,0,32294127,153779174,0,2026-08-06T23:37:18.005Z
2025,0000473,명지전문대학,명지학원,전문대학,서울,사립,기존,132228423,0,53398196,0,0,0,61812,0,384870,0,32294127,153779174,0,2026-08-06T23:37:18.005Z
2025,0000112,목원대학교,감리교학원,대학,대전,사립,기존,14030445,0,340056,377700,0,0,0,0,0,0,0,14370501,377700,2026-08-06T23:37:18.005Z
2025,0000221,목포가톨릭대학교,골롬반학원,대학,전남,사립,기존,0,0,0,0,0,0,3066709,127972,0,0,0,3066709,127972,2026-08-06T23:37:18.005Z
2025,0000474,목포과학대학교,영신학원,전문대학,전남,사립,기존,5043157,0,4193126,27214,3313603,147786,0,0,0,0,0,12549886,175000,2026-08-06T23:37:18.005Z
2025,0000475,문경대학교,남북학원,전문대학,경북,사립,기존,0,0,0,0,250000,9085,0,0,0,0,0,250000,9085,2026-08-06T23:37:18.005Z
2025,0000113,배재대학교,배재학당,대학,대전,사립,기존,128670434,2904496,30090165,714504,0,0,0,0,0,0,47276839,111483760,3619000,2026-08-06T23:37:18.005Z
2025,0000476,배화여자대학교,배화학원,전문대학,서울,사립,기존,9157299,0,440690,70000,2538749,0,1123569,45844,0,0,95000,13165307,115844,2026-08-06T23:37:18.005Z
2025,0000178,백석대학교,백석대학교,대학,충남,사립,기존,3725561,0,9916376,409863,0,0,6975085,358147,0,0,500000,20117022,768010,2026-08-06T23:37:18.005Z
2025,0000543,백석문화대학교,천안백석학원,전문대학,충남,사립,기존,560844,0,204000,0,0,0,4275428,10711,0,0,0,5040272,10711,2026-08-06T23:37:18.005Z
2025,0000477,백제예술대학교,백암학원,전문대학,전북,사립,기존,73998374,0,6239751,324520,819720,0,0,0,0,0,8579051,72478794,324520,2026-08-06T23:37:18.005Z
2025,0000642,베뢰아국제대학원대학교,베뢰아아카데미학원,대학원대학,서울,사립,기존,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-06T23:37:18.005Z
2025,0000114,부산가톨릭대학교,성모학원,대학,부산,사립,기존,2847039,110199,0,0,0,0,2258688,89801,0,0,0,5105727,200000,2026-08-06T23:37:18.005Z
2025,0000479,부산경상대학교,화신학원,전문대학,부산,사립,기존,23847893,24000,2398763,351000,0,0,2514411,105822,0,0,0,28761067,480822,2026-08-06T23:37:18.005Z
