year,cohort,school_rep_code,school_rep_name,region,estb,school_division,ordinary_expense_transfer,legal_obligation_transfer,asset_transfer,total_transfer,tuition_revenue,transfer_ratio,campus_count,has_alimi,updated_at
2020,university,0000190,초당대학교,전남,사립,대학,0,800000,0,800000,19701845.18,4.1,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000186,한려대학교,전남,사립,대학,0,6000,0,6000,2734816.18,0.2,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000173,예수대학교,전북,사립,대학,0,273800,0,273800,3693796.46,7.4,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000164,예원예술대학교,전북,사립,대학,0,483500,0,483500,16191202.67,3,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000116,우석대학교,전북,사립,대학,95100,332871,0,427971,53833024.95,0.8,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000118,원광대학교,전북,사립,대학,83200,1730000,0,1813200,119006586.4,1.5,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000126,전주대학교,전북,사립,대학,70000,780000,0,850000,80657542.92,1.1,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000155,한일장신대학교,전북,사립,대학,14404.493,553132,0,567536.493,7525305.9,7.5,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000223,호원대학교,전북,사립,대학,0,737660,0,737660,35400654.01,2.1,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000192,제주국제대학교,제주,사립,대학,0,0,0,0,0,,1,N,2026-08-15T06:50:35.100Z
2020,university,0000038,건양대학교,충남,사립,대학,3006441.62,4585939.685,0,7592381.305,51893413.54,14.6,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000169,금강대학교,충남,사립,대학,4390651.99,341912.47,667435.54,5400000,2417714.433,223.4,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000059,나사렛대학교,충남,사립,대학,93000,373000,0,466000,37338008.71,1.2,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000189,남서울대학교,충남,사립,대학,10000,931000,0,941000,73962775.43,1.3,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000131,백석대학교,충남,사립,대학,0,510000,0,510000,107357956.7,0.5,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000094,선문대학교,충남,사립,대학,3000,4000000,0,4003000,68914908.57,5.8,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000104,순천향대학교,충남,사립,대학,3300000,11657975.24,0,14957975.24,92226560.27,16.2,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000128,중부대학교,충남,사립,대학,4006.77,240000,0,244006.77,62417531.94,0.4,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000225,청운대학교,충남,사립,대학,8000,81100,0,89100,43683333.07,0.2,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000141,한국기술교육대학교,충남,사립,대학,73240706.92,4835144.16,28049532,106125383.08,19984540.38,531,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000149,한서대학교,충남,사립,대학,6000,175000,0,181000,55835505.73,0.3,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000159,호서대학교,충남,사립,대학,0,517000,0,517000,105798481.2,0.5,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000557,가톨릭꽃동네대학교,충북,사립,대학,1240168,258072,0,1498240,3524693.59,42.5,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000058,극동대학교,충북,사립,대학,0,50000,0,50000,26690534.82,0.2,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000093,서원대학교,충북,사립,대학,110000,100000,0,210000,44583303.27,0.5,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000099,세명대학교,충북,사립,대학,0,1300000,0,1300000,52045574.18,2.5,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000113,유원대학교,충북,사립,대학,0,220500,0,220500,25047224.95,0.9,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000183,중원대학교,충북,사립,대학,1585282.219,1541086.34,0,3126368.5590000004,28085992.2,11.1,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000132,청주대학교,충북,사립,대학,358000,130000,0,488000,88077277.31,0.6,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000347,강릉영동대학교,강원,사립,전문대학,0,40000,0,40000,15238041.6,0.3,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000378,강원관광대학교,강원,사립,전문대학,0,171705.94,0,171705.94,4883365.652,3.5,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000348,세경대학교,강원,사립,전문대학,10000,27000,0,37000,4907246.097,0.8,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000393,송곡대학교,강원,사립,전문대학,2360000,260000,0,2620000,3318440.79,79,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000390,송호대학교,강원,사립,전문대학,1200,220000,0,221200,5288204.564,4.2,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000542,한국골프대학교,강원,사립,전문대학,1035.63,10000,0,11035.630000000001,3206915,0.3,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000383,한림성심대학교,강원,사립,전문대학,98991.911,1117212.57,0,1216204.4810000001,16792764.91,7.2,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000387,경기과학기술대학교,경기,사립,전문대학,49353.209,1387046.791,0,1436400,28527405.92,5,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000255,경민대학교,경기,사립,전문대학,5000,70000,0,75000,28095777.34,0.3,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000259,경복대학교,경기,사립,전문대학,0,356765,0,356765,39814871.25,0.9,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000264,계원예술대학교,경기,사립,전문대학,0,40000,0,40000,21632315.48,0.2,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000379,국제대학교,경기,사립,전문대학,2984.657,55000,0,57984.657,23349828.5,0.2,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000277,김포대학교,경기,사립,전문대학,0,10867,0,10867,19329800.44,0.1,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000278,농협대학교,경기,사립,전문대학,4051514.934,298487.066,0,4350002,2223629.99,195.6,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000285,대림대학교,경기,사립,전문대학,0,1446000,0,1446000,46935108.94,3.1,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000294,동남보건대학교,경기,사립,전문대학,0,80000,0,80000,30398537.02,0.3,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000287,동서울대학교,경기,사립,전문대학,3500,40000,0,43500,39730554.89,0.1,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000298,동아방송예술대학교,경기,사립,전문대학,0,21000,0,21000,22497397.95,0.1,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000302,동원대학교,경기,사립,전문대학,1000,61422,0,62422,21072863.59,0.3,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000305,두원공과대학교,경기,사립,전문대학,681897,1599483,0,2281380,25521817.76,8.9,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000316,부천대학교,경기,사립,전문대학,15000,221000,0,236000,48406532.45,0.5,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000323,서울예술대학교,경기,사립,전문대학,0,460000,0,460000,25481841.53,1.8,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000392,서정대학교,경기,사립,전문대학,3600,439400,0,443000,34146550.37,1.3,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000330,수원과학대학교,경기,사립,전문대학,0,20000,0,20000,30060950.62,0.1,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000329,수원여자대학교,경기,사립,전문대학,39116.3,1000,0,40116.3,28205285.13,0.1,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000334,신구대학교,경기,사립,전문대학,0,10000,0,10000,43548144.41,0,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000339,신안산대학교,경기,사립,전문대학,0,3000,0,3000,23781735,0,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000340,안산대학교,경기,사립,전문대학,0,150000,0,150000,26951922.28,0.6,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000343,여주대학교,경기,사립,전문대학,0,26746,0,26746,33312414.45,0.1,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000341,연성대학교,경기,사립,전문대학,0,112000,0,112000,37278856.75,0.3,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000350,오산대학교,경기,사립,전문대학,0,97000,0,97000,31273532.82,0.3,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000559,용인예술과학대학교,경기,사립,전문대학,40000,70000,0,110000,25018055.38,0.4,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000394,웅지세무대학교,경기,사립,전문대학,0,20000,0,20000,6882544.36,0.3,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000355,유한대학교,경기,사립,전문대학,46000,1319380,0,1365380,27891501.8,4.9,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000358,장안대학교,경기,사립,전문대학,9028.96,1000,0,10028.96,32777438.83,0,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000374,청강문화산업대학교,경기,사립,전문대학,22000,130000,0,152000,25906045.02,0.6,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000391,한국관광대학교,경기,사립,전문대학,0,580000,0,580000,11663896.1,5,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000251,거제대학교,경남,사립,전문대학,0,441001.36,0,441001.36,7051627.43,6.3,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000395,김해대학교,경남,사립,전문대학,20000,0,0,20000,8381541.864,0.2,1,Y,2026-08-15T06:50:35.100Z
2020,junior-college,0000342,동원과학기술대학교,경남,사립,전문대학,0,400000,0,400000,12770485.4,3.1,1,Y,2026-08-15T06:50:35.100Z
