school_code_std,school_name,main_branch,school_type,establishment,road_address,lot_address,sido,sigungu,lng,lat,geocoded_at
0000021,국립경국대학교,본교,대학교,국립,"경상북도 안동시 경동로 1375 (송천동, 안동대학교)",경상북도 안동시 송천동 388,경상북도,안동시,128.80005005962698,36.54007148980617,2026-08-01T20:12:16.527Z
0000008,국립공주대학교,본교,대학교,국립,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",충청남도 공주시 신관동 182,충청남도,공주시,127.14256658598825,36.47135044003209,2026-08-01T20:12:16.527Z
0000009,국립군산대학교,본교,대학교,국립,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",전북특별자치도 군산시 미룡동 290-2,전라북도,군산시,126.68141359547279,35.948610072213754,2026-08-01T20:12:16.527Z
0000010,국립금오공과대학교,본교,대학교,국립,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",경상북도 구미시 거의동 468,경상북도,구미시,128.39096267610762,36.14725422946561,2026-08-01T20:12:16.527Z
0000011,국립목포대학교,본교,대학교,국립,"전남광주통합특별시 무안군 청계면 영산로 1666 (도림리, 목포대학교)",전남광주통합특별시 무안군 청계면 도림리 357-1,전남광주통합특별시,무안군,126.43298245864659,34.905790692311044,2026-08-01T20:12:16.527Z
0003312,국립목포대학교(담양캠퍼스),제2캠퍼스,대학교,국립,전남광주통합특별시 담양군 담양읍 죽녹원로 152,전남광주통합특별시 담양군 담양읍 향교리 262-2,전남광주통합특별시,담양군,126.9888792892992,35.326532830251,2026-08-01T20:12:16.527Z
0000012,국립목포해양대학교,본교,대학교,국립,"전남광주통합특별시 목포시 해양대학로 91 (죽교동, 목포해양대학교)",전남광주통합특별시 목포시 죽교동 571,전남광주통합특별시,목포시,126.36588781389867,34.790774550009274,2026-08-01T20:12:16.527Z
0000013,국립부경대학교,본교,대학교,국립,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",부산광역시 남구 대연동 599-1,부산광역시,남구,129.10461227243076,35.131617065487546,2026-08-01T20:12:16.527Z
0000020,국립순천대학교,본교,대학교,국립,전남광주통합특별시 순천시 중앙로 255 (석현동),전남광주통합특별시 순천시 석현동 313,전남광주통합특별시,순천시,127.48207515841695,34.96938417673307,2026-08-01T20:12:16.527Z
0000028,국립창원대학교,본교,대학교,국립,"경상남도 창원시 의창구 창원대학로 20 (사림동, 창원대학교)",경상남도 창원시 의창구 퇴촌동 256,경상남도,창원시,128.69095214713477,35.24756258541615,2026-08-01T20:12:16.527Z
0003297,국립창원대학교(거창캠퍼스),제2캠퍼스,대학교,국립,경상남도 거창군 거창읍 거창대학로 72,경상남도 거창군 거창읍 김천리 164,경상남도,거창군,127.91161897875065,35.673041326317225,2026-08-01T20:12:16.527Z
0003298,국립창원대학교(남해캠퍼스),제3캠퍼스,대학교,국립,경상남도 남해군 남해읍 화전로78번길 30,경상남도 남해군 남해읍 남변리 162,경상남도,남해군,127.8994820582451,34.83776936904613,2026-08-01T20:12:16.527Z
0000034,국립한국교통대학교,본교,대학교,국립,"충청북도 충주시 대소원면 대학로 50 (검단리, 한국교통대학교)",충청북도 충주시 대소원면 검단리 123,충청북도,충주시,127.87192998710968,36.97229107883058,2026-08-01T20:12:16.527Z
0000033,국립한국해양대학교,본교,대학교,국립,"부산광역시 영도구 태종로 727 (동삼동, 한국해양대학교)",부산광역시 영도구 동삼동 1,부산광역시,영도구,129.08861897120516,35.077398968745115,2026-08-01T20:12:16.527Z
0000039,국립한밭대학교,본교,대학교,국립,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)",대전광역시 유성구 덕명동 16-1,대전광역시,유성구,127.29995061029467,36.35052998435395,2026-08-01T20:12:16.527Z
