year,school_kind,estb,school_division,region,status,school_rep_code,school_rep_name,campus_count,enrolled_students,enrolled_dropouts,enrolled_dropout_rate,freshman_students,freshman_dropouts,freshman_dropout_rate,consolidated_at
2019,전문대학,사립,전문대학,대구,기존,0000263,계명문화대학교,1,7705,636,8.25,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,특별법법인,대학,대구,기존,0000470,대구경북과학기술원,1,898,22,2.45,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,대구,기존,0000280,대구공업대학교,1,2964,286,9.65,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,대구,기존,0000283,대구과학대학교,1,5143,405,7.87,0,0,0,2026-08-07T10:05:19.980Z
2019,교육대학,국립,대학,대구,기존,0000197,대구교육대학교,1,1671,31,1.86,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,대구,기존,0000281,대구보건대학교,1,8913,449,5.04,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,대구,기존,0000282,수성대학교,1,4988,358,7.18,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,대구,기존,0000346,영남이공대학교,1,9154,606,6.62,0,0,0,2026-08-07T10:05:19.980Z
2019,사이버대학(전문대학),사립,전문대학,대구,기존,0000406,영진사이버대학,1,3635,248,6.82,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,대구,기존,0000349,영진전문대학교,1,13387,931,6.95,0,0,0,2026-08-07T10:05:19.980Z
2019,기능대학,사립,전문대학,대구,기존,0000549,한국폴리텍 특성화대학,1,270,47,17.41,0,0,0,2026-08-07T10:05:19.980Z
2019,기능대학,사립,전문대학,대구,기존,0000494,한국폴리텍 VI 대학,1,1324,140,10.57,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,대전,기존,0000038,건양대학교,2,9138,361,3.95,0,0,0,2026-08-07T10:05:19.980Z
