year,cohort,school_rep_code,school_rep_name,region,estb,school_division,appraised_gross,collateral_deduction,appraised_net,income_total,tuition_revenue,secure_rate,revenue_rate,campus_count,has_alimi,updated_at
2021,junior-college,0000302,동원대학교,경기,사립,전문대학,5158398,0,5158398,192152,21072863.59,24.5,3.7,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000305,두원공과대학교,경기,사립,전문대학,50928294,0,50928294,2443999,25521817.76,199.5,4.8,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000316,부천대학교,경기,사립,전문대학,11864909,0,11864909,96017,48406532.45,24.5,0.8,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000323,서울예술대학교,경기,사립,전문대학,27637955,0,27637955,672000,25481841.53,108.5,2.4,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000392,서정대학교,경기,사립,전문대학,16437011,0,16437011,176482,34146550.37,48.1,1.1,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000330,수원과학대학교,경기,사립,전문대학,24055144,0,24055144,65546,30060950.62,80,0.3,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000329,수원여자대학교,경기,사립,전문대학,6376080,0,6376080,79492,28205285.13,22.6,1.2,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000334,신구대학교,경기,사립,전문대학,10122692,30000,10092692,46338,43548144.41,23.2,0.5,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000339,신안산대학교,경기,사립,전문대학,14825678,0,14825678,2640,23781735,62.3,0,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000340,안산대학교,경기,사립,전문대학,33014383,1700100,31314283,393213,26951922.28,116.2,1.2,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000343,여주대학교,경기,사립,전문대학,1275000,0,1275000,18537,33312414.45,3.8,1.5,1,Y,2026-08-15T07:41:06.072Z
