year,school_code_std,school_name,main_branch_name,school_rep_code,school_rep_name,parent_school_name,school_division,school_kind,region,estb,related_law,corp_name,status,student_aid_restrict,provisional_board,no_settlement,uploaded_at
2026,0000215,가톨릭꽃동네대학교,본교,0000557,가톨릭꽃동네대학교,가톨릭꽃동네대학교[본교],대학,대학교,충북,사립,고등교육법,꽃동네현도학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000216,남부대학교,본교,0000162,남부대학교,남부대학교[본교],대학,대학교,전남광주,사립,고등교육법,우암학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000218,예원예술대학교,본교,0000164,예원예술대학교,예원예술대학교[본교],대학,대학교,전북,사립,고등교육법,예원예술대학교,기존,해당,,,2026-08-14T22:41:45.160Z
2026,0000219,예원예술대학교,제2캠퍼스,0000164,예원예술대학교,예원예술대학교[제2캠퍼스],대학,대학교,경기,사립,고등교육법,예원예술대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000221,목포가톨릭대학교,본교,0000166,목포가톨릭대학교,목포가톨릭대학교[본교],대학,대학교,전남광주,사립,고등교육법,골롬반학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000222,부산장신대학교,본교,0000167,부산장신대학교,부산장신대학교[본교],대학,대학교,경남,사립,고등교육법,부산장신대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000224,금강대학교,본교,0000169,금강대학교,금강대학교[본교],대학,대학교,충남,사립,고등교육법,금강대학교,기존,해당,,,2026-08-14T22:41:45.160Z
2026,0000228,예수대학교,본교,0000173,예수대학교,예수대학교[본교],대학,대학교,전북,사립,고등교육법,예수대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000231,광주대학교,본교,0000176,광주대학교,광주대학교[본교],대학,대학교,전남광주,사립,고등교육법,호심학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000233,화성의과학대학교,본교,0000567,화성의과학대학교,화성의과학대학교[본교],대학,대학교,경기,사립,고등교육법,신경학원,기존,해당,,,2026-08-14T22:41:45.160Z
2026,0000235,동명대학교,본교,0000180,동명대학교,동명대학교[본교],대학,대학교,부산,사립,고등교육법,동명문화학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000238,대전신학대학교,본교,0000182,대전신학대학교,대전신학대학교[본교],대학,대학교,대전,사립,고등교육법,대전신학대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000239,중원대학교,본교,0000183,중원대학교,중원대학교[본교],대학,대학교,충북,사립,고등교육법,대진교육재단,기존,,,,2026-08-14T22:41:45.160Z
2026,0000240,우송대학교,본교,0000184,우송대학교,우송대학교[본교],대학,대학교,대전,사립,고등교육법,우송학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000241,김천대학교,본교,0000185,김천대학교,김천대학교[본교],대학,대학교,경북,사립,고등교육법,김천대학교,기존,,,,2026-08-14T22:41:45.160Z
