year,cohort,school_rep_code,school_rep_name,region,estb,school_division,tuition_revenue,edu_operating_revenue,industry_operating_revenue,total_operating_revenue,tuition_dependency_rate,campus_count,has_alimi,updated_at
2020,university,0000123,인천가톨릭대학교,인천,사립,대학,6549511.365,15304908.3,765285.248,16070193.548,40.8,2,Y,2026-08-15T06:33:03.497Z
2020,university,0000124,인하대학교,인천,사립,대학,163868470.2,257739938.2,111636326.7,369376264.9,44.4,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000054,광주가톨릭대학교,전남,사립,대학,0,1988325.935,0,1988325.935,0,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000074,동신대학교,전남,사립,대학,43864479.51,71446662.61,14397503.76,85844166.37,51.1,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000166,목포가톨릭대학교,전남,사립,대학,3258564.166,6792980.892,200169.629,6993150.521,46.6,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000064,세한대학교,전남,사립,대학,21975288.44,39532707.8,776443.944,40309151.743999995,54.5,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000114,영산선학대학교,전남,사립,대학,59000,1072498.255,0,1072498.255,5.5,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000190,초당대학교,전남,사립,대학,19701845.18,36671799.98,1149034.652,37820834.632,52.1,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000186,한려대학교,전남,사립,대학,2734816.18,3176465.894,63416.984,3239882.878,84.4,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000173,예수대학교,전북,사립,대학,3693796.46,6158885.478,135135.075,6294020.553,58.7,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000164,예원예술대학교,전북,사립,대학,16191202.67,19437271.61,27509.796,19464781.406,83.2,2,Y,2026-08-15T06:33:03.497Z
2020,university,0000116,우석대학교,전북,사립,대학,53833024.95,81954222.55,17599851.95,99554074.5,54.1,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000118,원광대학교,전북,사립,대학,119006586.4,184521743.1,44304715.65,228826458.75,52,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000126,전주대학교,전북,사립,대학,80657542.92,135677812.3,23301784.39,158979596.69,50.7,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000155,한일장신대학교,전북,사립,대학,7525305.9,12693769.56,65783.54,12759553.1,59,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000223,호원대학교,전북,사립,대학,35400654.01,56623073.25,1335464.134,57958537.384,61.1,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000192,제주국제대학교,제주,사립,대학,0,0,770547.333,770547.333,0,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000038,건양대학교,충남,사립,대학,51893413.54,93294944.56,16042548.42,109337492.98,47.5,2,Y,2026-08-15T06:33:03.497Z
2020,university,0000169,금강대학교,충남,사립,대학,2417714.433,8907283.721,279844.648,9187128.369,26.3,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000059,나사렛대학교,충남,사립,대학,37338008.71,62370357.65,2379916.561,64750274.210999995,57.7,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000189,남서울대학교,충남,사립,대학,73962775.43,104991727.5,14354367.16,119346094.66,62,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000131,백석대학교,충남,사립,대학,107357956.7,150669149.4,14073284.48,164742433.88,65.2,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000094,선문대학교,충남,사립,대학,68914908.57,116716586.8,17874626.87,134591213.67,51.2,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000104,순천향대학교,충남,사립,대학,92226560.27,192989250.6,60507232.32,253496482.92,36.4,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000128,중부대학교,충남,사립,대학,62417531.94,88823873.88,13518831.77,102342705.64999999,61,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000225,청운대학교,충남,사립,대학,43683333.07,65270022.36,10975486.52,76245508.88,57.3,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000141,한국기술교육대학교,충남,사립,대학,19984540.38,166065138.6,34502467.14,200567605.74,10,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000149,한서대학교,충남,사립,대학,55835505.73,89307507.46,15671492.31,104978999.77,53.2,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000159,호서대학교,충남,사립,대학,105798481.2,153067066.1,30346581.75,183413647.85,57.7,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000557,가톨릭꽃동네대학교,충북,사립,대학,3524693.59,8616001.993,155414.465,8771416.458,40.2,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000058,극동대학교,충북,사립,대학,26690534.82,37115828.56,1688767.72,38804596.28,68.8,1,Y,2026-08-15T06:33:03.497Z
