year,school_code_std,school_name,school_division,school_kind,estb,status,region,zone,metro,enrolled_total,scale,campus_count
2026,0000053,광운대학교,대학,대학교,사립,기존,서울,수도권,수도권,8393,중규모,1
2026,0000054,광주가톨릭대학교,대학,대학교,사립,기존,전남,서남권,비수도권,55,소규모,1
2026,0000196,광주교육대학교,대학,교육대학,국립,기존,광주,서남권,비수도권,1260,소규모,1
2026,0000176,광주대학교,대학,대학교,사립,기존,광주,서남권,비수도권,4893,소규모,1
2026,0000267,광주보건대학교,전문대학,전문대학,사립,기존,광주,서남권,비수도권,3548,중규모,1
2026,0000055,광주여자대학교,대학,대학교,사립,기존,광주,서남권,비수도권,3303,소규모,1
2026,0000268,구미대학교,전문대학,전문대학,사립,기존,경북,대경권,비수도권,6420,대규모,1
2026,0000580,국립경국대학교,대학,대학교,국립,기존,경북,대경권,비수도권,4787,소규모,1
2026,0000573,국립공주대학교,대학,대학교,국립,기존,충남,충청권,비수도권,12280,대규모,1
2026,0000574,국립군산대학교,대학,대학교,국립,기존,전북,전북권,비수도권,6207,중규모,1
2026,0000575,국립금오공과대학교,대학,대학교,국립,기존,경북,대경권,비수도권,4758,소규모,1
2026,0000576,국립목포대학교,대학,대학교,국립,기존,전남,서남권,비수도권,5833,중규모,2
2026,0000577,국립목포해양대학교,대학,대학교,국립,기존,전남,서남권,비수도권,2637,소규모,1
2026,0000578,국립부경대학교,대학,대학교,국립,기존,부산,동남권,비수도권,15199,대규모,1
2026,0000579,국립순천대학교,대학,대학교,국립,기존,전남,서남권,비수도권,6445,중규모,1
2026,0000581,국립창원대학교,대학,대학교,국립,기존,경남,동남권,비수도권,8239,중규모,3
2026,0000582,국립한국교통대학교,대학,대학교,국립,기존,충북,충청권,비수도권,7852,중규모,1
2026,0000583,국립한국해양대학교,대학,대학교,국립,기존,부산,동남권,비수도권,6337,중규모,1
2026,0000584,국립한밭대학교,대학,대학교,국립,기존,대전,충청권,비수도권,8233,중규모,1
2026,0000056,국민대학교,대학,대학교,사립,기존,서울,수도권,수도권,14785,대규모,1
2026,0000379,국제대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,2387,중규모,1
2026,0000250,군산간호대학교,전문대학,전문대학,사립,기존,전북,전북권,비수도권,1040,소규모,1
2026,0000270,군장대학교,전문대학,전문대학,사립,기존,전북,전북권,비수도권,2356,중규모,1
2026,0000058,극동대학교,대학,대학교,사립,기존,충북,충청권,비수도권,3655,소규모,1
2026,0000169,금강대학교,대학,대학교,사립,기존,충남,충청권,비수도권,67,소규모,1
2026,0000273,기독간호대학교,전문대학,전문대학,사립,기존,광주,서남권,비수도권,607,소규모,1
2026,0000185,김천대학교,대학,대학교,사립,기존,경북,대경권,비수도권,2515,소규모,1
2026,0000277,김포대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,3296,중규모,1
2026,0000395,김해대학교,전문대학,전문대학,사립,기존,경남,동남권,비수도권,1516,소규모,1
2026,0000059,나사렛대학교,대학,대학교,사립,기존,충남,충청권,비수도권,4540,소규모,1
2026,0000585,나주대학교,전문대학,전문대학,사립,기존,전남,서남권,비수도권,1770,소규모,1
2026,0000162,남부대학교,대학,대학교,사립,기존,광주,서남권,비수도권,2332,소규모,1
2026,0000189,남서울대학교,대학,대학교,사립,기존,충남,충청권,비수도권,9173,중규모,1
2026,0000278,농협대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,370,소규모,1
2026,0000060,단국대학교,대학,대학교,사립,기존,경기,수도권,수도권,22233,대규모,2
2026,0000279,대경대학교,전문대학,전문대학,사립,기존,경북,대경권,비수도권,4468,대규모,1
2026,0000063,대구가톨릭대학교,대학,대학교,사립,기존,경북,대경권,비수도권,11842,대규모,1
2026,0000280,대구공업대학교,전문대학,전문대학,사립,기존,대구,대경권,비수도권,1337,소규모,1
2026,0000283,대구과학대학교,전문대학,전문대학,사립,기존,대구,대경권,비수도권,4475,대규모,1
2026,0000197,대구교육대학교,대학,교육대학,국립,기존,대구,대경권,비수도권,1515,소규모,1
2026,0000061,대구대학교,대학,대학교,사립,기존,경북,대경권,비수도권,15413,대규모,1
2026,0000281,대구보건대학교,전문대학,전문대학,사립,기존,대구,대경권,비수도권,6831,대규모,1
2026,0000062,대구예술대학교,대학,대학교,사립,기존,경북,대경권,비수도권,369,소규모,1
